Substrate,ECNumber,Organism_ID_sabio,kcat
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,997255,5.6
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1236968,14.93333
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1265493,24.3
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1577051,1.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1813182,206.58
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1835742,23.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,1869214,9.58
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.11.2.1,1973307,283.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,2690350,24.3
"2,2-Dimethylpropanal",4.1.2.10,32224,164.0
"2,3,4,5-Tetrahydrodipicolinate",2.6.1.83,3702,0.3
"2,3,4,5-Tetrahydrodipicolinate",2.3.1.117,83333,43.33333
"2,3-Bisphosphoglycerate",5.4.2.11,9031,2.78
"2,3-Bisphosphoglycerate",5.4.2.4,9031,2.78
"2,3-Bisphosphoglycerate",5.4.2.11,559292,0.16
